Full_Date,Date_Key,Day,Month,Month_Name,Quarter,Year,Week_No,Fiscal_Month,Fiscal_Year
2021-02-25,20210225,25,2,February,1,2021,8,2,2021
2021-02-26,20210226,26,2,February,1,2021,8,2,2021
2021-02-27,20210227,27,2,February,1,2021,8,2,2021
2021-02-28,20210228,28,2,February,1,2021,8,2,2021
2021-03-01,20210301,1,3,March,1,2021,9,3,2021
2021-03-02,20210302,2,3,March,1,2021,9,3,2021
2021-03-03,20210303,3,3,March,1,2021,9,3,2021
2021-03-04,20210304,4,3,March,1,2021,9,3,2021
2021-03-05,20210305,5,3,March,1,2021,9,3,2021
2021-03-06,20210306,6,3,March,1,2021,9,3,2021
2021-03-07,20210307,7,3,March,1,2021,9,3,2021
2021-03-08,20210308,8,3,March,1,2021,10,3,2021
2021-03-09,20210309,9,3,March,1,2021,10,3,2021
2021-03-10,20210310,10,3,March,1,2021,10,3,2021
2021-03-11,20210311,11,3,March,1,2021,10,3,2021
2021-03-12,20210312,12,3,March,1,2021,10,3,2021
2021-03-13,20210313,13,3,March,1,2021,10,3,2021
2021-03-14,20210314,14,3,March,1,2021,10,3,2021
2021-03-15,20210315,15,3,March,1,2021,11,3,2021
2021-03-16,20210316,16,3,March,1,2021,11,3,2021
2021-03-17,20210317,17,3,March,1,2021,11,3,2021
2021-03-18,20210318,18,3,March,1,2021,11,3,2021
2021-03-19,20210319,19,3,March,1,2021,11,3,2021
2021-03-20,20210320,20,3,March,1,2021,11,3,2021
2021-03-21,20210321,21,3,March,1,2021,11,3,2021
2021-03-22,20210322,22,3,March,1,2021,12,3,2021
2021-03-23,20210323,23,3,March,1,2021,12,3,2021
2021-03-24,20210324,24,3,March,1,2021,12,3,2021
2021-03-25,20210325,25,3,March,1,2021,12,3,2021
2021-03-26,20210326,26,3,March,1,2021,12,3,2021
2021-03-27,20210327,27,3,March,1,2021,12,3,2021
2021-03-28,20210328,28,3,March,1,2021,12,3,2021
2021-03-29,20210329,29,3,March,1,2021,13,3,2021
2021-03-30,20210330,30,3,March,1,2021,13,3,2021
2021-03-31,20210331,31,3,March,1,2021,13,3,2021
2021-04-01,20210401,1,4,April,2,2021,13,4,2021
2021-04-02,20210402,2,4,April,2,2021,13,4,2021
2021-04-03,20210403,3,4,April,2,2021,13,4,2021
2021-04-04,20210404,4,4,April,2,2021,13,4,2021
2021-04-05,20210405,5,4,April,2,2021,14,4,2021
2021-04-06,20210406,6,4,April,2,2021,14,4,2021
2021-04-07,20210407,7,4,April,2,2021,14,4,2021
2021-04-08,20210408,8,4,April,2,2021,14,4,2021
2021-04-09,20210409,9,4,April,2,2021,14,4,2021
2021-04-10,20210410,10,4,April,2,2021,14,4,2021
2021-04-11,20210411,11,4,April,2,2021,14,4,2021
2021-04-12,20210412,12,4,April,2,2021,15,4,2021
2021-04-13,20210413,13,4,April,2,2021,15,4,2021
2021-04-14,20210414,14,4,April,2,2021,15,4,2021
2021-04-15,20210415,15,4,April,2,2021,15,4,2021
2021-04-16,20210416,16,4,April,2,2021,15,4,2021
2021-04-17,20210417,17,4,April,2,2021,15,4,2021
2021-04-18,20210418,18,4,April,2,2021,15,4,2021
2021-04-19,20210419,19,4,April,2,2021,16,4,2021
2021-04-20,20210420,20,4,April,2,2021,16,4,2021
2021-04-21,20210421,21,4,April,2,2021,16,4,2021
2021-04-22,20210422,22,4,April,2,2021,16,4,2021
2021-04-23,20210423,23,4,April,2,2021,16,4,2021
2021-04-24,20210424,24,4,April,2,2021,16,4,2021
2021-04-25,20210425,25,4,April,2,2021,16,4,2021
2021-04-26,20210426,26,4,April,2,2021,17,4,2021
2021-04-27,20210427,27,4,April,2,2021,17,4,2021
2021-04-28,20210428,28,4,April,2,2021,17,4,2021
2021-04-29,20210429,29,4,April,2,2021,17,4,2021
2021-04-30,20210430,30,4,April,2,2021,17,4,2021
2021-05-01,20210501,1,5,May,2,2021,17,5,2021
2021-05-02,20210502,2,5,May,2,2021,17,5,2021
2021-05-03,20210503,3,5,May,2,2021,18,5,2021
2021-05-04,20210504,4,5,May,2,2021,18,5,2021
2021-05-05,20210505,5,5,May,2,2021,18,5,2021
2021-05-06,20210506,6,5,May,2,2021,18,5,2021
2021-05-07,20210507,7,5,May,2,2021,18,5,2021
2021-05-08,20210508,8,5,May,2,2021,18,5,2021
2021-05-09,20210509,9,5,May,2,2021,18,5,2021
2021-05-10,20210510,10,5,May,2,2021,19,5,2021
2021-05-11,20210511,11,5,May,2,2021,19,5,2021
2021-05-12,20210512,12,5,May,2,2021,19,5,2021
2021-05-13,20210513,13,5,May,2,2021,19,5,2021
2021-05-14,20210514,14,5,May,2,2021,19,5,2021
2021-05-15,20210515,15,5,May,2,2021,19,5,2021
2021-05-16,20210516,16,5,May,2,2021,19,5,2021
2021-05-17,20210517,17,5,May,2,2021,20,5,2021
2021-05-18,20210518,18,5,May,2,2021,20,5,2021
2021-05-19,20210519,19,5,May,2,2021,20,5,2021
2021-05-20,20210520,20,5,May,2,2021,20,5,2021
2021-05-21,20210521,21,5,May,2,2021,20,5,2021
2021-05-22,20210522,22,5,May,2,2021,20,5,2021
2021-05-23,20210523,23,5,May,2,2021,20,5,2021
2021-05-24,20210524,24,5,May,2,2021,21,5,2021
2021-05-25,20210525,25,5,May,2,2021,21,5,2021
2021-05-26,20210526,26,5,May,2,2021,21,5,2021
2021-05-27,20210527,27,5,May,2,2021,21,5,2021
2021-05-28,20210528,28,5,May,2,2021,21,5,2021
2021-05-29,20210529,29,5,May,2,2021,21,5,2021
2021-05-30,20210530,30,5,May,2,2021,21,5,2021
2021-05-31,20210531,31,5,May,2,2021,22,5,2021
2021-06-01,20210601,1,6,June,2,2021,22,6,2021
2021-06-02,20210602,2,6,June,2,2021,22,6,2021
2021-06-03,20210603,3,6,June,2,2021,22,6,2021
2021-06-04,20210604,4,6,June,2,2021,22,6,2021
2021-06-05,20210605,5,6,June,2,2021,22,6,2021
2021-06-06,20210606,6,6,June,2,2021,22,6,2021
2021-06-07,20210607,7,6,June,2,2021,23,6,2021
2021-06-08,20210608,8,6,June,2,2021,23,6,2021
2021-06-09,20210609,9,6,June,2,2021,23,6,2021
2021-06-10,20210610,10,6,June,2,2021,23,6,2021
2021-06-11,20210611,11,6,June,2,2021,23,6,2021
2021-06-12,20210612,12,6,June,2,2021,23,6,2021
2021-06-13,20210613,13,6,June,2,2021,23,6,2021
2021-06-14,20210614,14,6,June,2,2021,24,6,2021
2021-06-15,20210615,15,6,June,2,2021,24,6,2021
2021-06-16,20210616,16,6,June,2,2021,24,6,2021
2021-06-17,20210617,17,6,June,2,2021,24,6,2021
2021-06-18,20210618,18,6,June,2,2021,24,6,2021
2021-06-19,20210619,19,6,June,2,2021,24,6,2021
2021-06-20,20210620,20,6,June,2,2021,24,6,2021
2021-06-21,20210621,21,6,June,2,2021,25,6,2021
2021-06-22,20210622,22,6,June,2,2021,25,6,2021
2021-06-23,20210623,23,6,June,2,2021,25,6,2021
2021-06-24,20210624,24,6,June,2,2021,25,6,2021
2021-06-25,20210625,25,6,June,2,2021,25,6,2021
2021-06-26,20210626,26,6,June,2,2021,25,6,2021
2021-06-27,20210627,27,6,June,2,2021,25,6,2021
2021-06-28,20210628,28,6,June,2,2021,26,6,2021
2021-06-29,20210629,29,6,June,2,2021,26,6,2021
2021-06-30,20210630,30,6,June,2,2021,26,6,2021
2021-07-01,20210701,1,7,July,3,2021,26,7,2021
2021-07-02,20210702,2,7,July,3,2021,26,7,2021
2021-07-03,20210703,3,7,July,3,2021,26,7,2021
2021-07-04,20210704,4,7,July,3,2021,26,7,2021
2021-07-05,20210705,5,7,July,3,2021,27,7,2021
2021-07-06,20210706,6,7,July,3,2021,27,7,2021
2021-07-07,20210707,7,7,July,3,2021,27,7,2021
2021-07-08,20210708,8,7,July,3,2021,27,7,2021
2021-07-09,20210709,9,7,July,3,2021,27,7,2021
2021-07-10,20210710,10,7,July,3,2021,27,7,2021
2021-07-11,20210711,11,7,July,3,2021,27,7,2021
2021-07-12,20210712,12,7,July,3,2021,28,7,2021
2021-07-13,20210713,13,7,July,3,2021,28,7,2021
2021-07-14,20210714,14,7,July,3,2021,28,7,2021
2021-07-15,20210715,15,7,July,3,2021,28,7,2021
2021-07-16,20210716,16,7,July,3,2021,28,7,2021
2021-07-17,20210717,17,7,July,3,2021,28,7,2021
2021-07-18,20210718,18,7,July,3,2021,28,7,2021
2021-07-19,20210719,19,7,July,3,2021,29,7,2021
2021-07-20,20210720,20,7,July,3,2021,29,7,2021
2021-07-21,20210721,21,7,July,3,2021,29,7,2021
2021-07-22,20210722,22,7,July,3,2021,29,7,2021
2021-07-23,20210723,23,7,July,3,2021,29,7,2021
2021-07-24,20210724,24,7,July,3,2021,29,7,2021
2021-07-25,20210725,25,7,July,3,2021,29,7,2021
2021-07-26,20210726,26,7,July,3,2021,30,7,2021
2021-07-27,20210727,27,7,July,3,2021,30,7,2021
2021-07-28,20210728,28,7,July,3,2021,30,7,2021
2021-07-29,20210729,29,7,July,3,2021,30,7,2021
2021-07-30,20210730,30,7,July,3,2021,30,7,2021
2021-07-31,20210731,31,7,July,3,2021,30,7,2021
2021-08-01,20210801,1,8,August,3,2021,30,8,2021
2021-08-02,20210802,2,8,August,3,2021,31,8,2021
2021-08-03,20210803,3,8,August,3,2021,31,8,2021
2021-08-04,20210804,4,8,August,3,2021,31,8,2021
2021-08-05,20210805,5,8,August,3,2021,31,8,2021
2021-08-06,20210806,6,8,August,3,2021,31,8,2021
2021-08-07,20210807,7,8,August,3,2021,31,8,2021
2021-08-08,20210808,8,8,August,3,2021,31,8,2021
2021-08-09,20210809,9,8,August,3,2021,32,8,2021
2021-08-10,20210810,10,8,August,3,2021,32,8,2021
2021-08-11,20210811,11,8,August,3,2021,32,8,2021
2021-08-12,20210812,12,8,August,3,2021,32,8,2021
2021-08-13,20210813,13,8,August,3,2021,32,8,2021
2021-08-14,20210814,14,8,August,3,2021,32,8,2021
2021-08-15,20210815,15,8,August,3,2021,32,8,2021
2021-08-16,20210816,16,8,August,3,2021,33,8,2021
2021-08-17,20210817,17,8,August,3,2021,33,8,2021
2021-08-18,20210818,18,8,August,3,2021,33,8,2021
2021-08-19,20210819,19,8,August,3,2021,33,8,2021
2021-08-20,20210820,20,8,August,3,2021,33,8,2021
2021-08-21,20210821,21,8,August,3,2021,33,8,2021
2021-08-22,20210822,22,8,August,3,2021,33,8,2021
2021-08-23,20210823,23,8,August,3,2021,34,8,2021
2021-08-24,20210824,24,8,August,3,2021,34,8,2021
2021-08-25,20210825,25,8,August,3,2021,34,8,2021
2021-08-26,20210826,26,8,August,3,2021,34,8,2021
2021-08-27,20210827,27,8,August,3,2021,34,8,2021
2021-08-28,20210828,28,8,August,3,2021,34,8,2021
2021-08-29,20210829,29,8,August,3,2021,34,8,2021
2021-08-30,20210830,30,8,August,3,2021,35,8,2021
2021-08-31,20210831,31,8,August,3,2021,35,8,2021
2021-09-01,20210901,1,9,September,3,2021,35,9,2021
2021-09-02,20210902,2,9,September,3,2021,35,9,2021
2021-09-03,20210903,3,9,September,3,2021,35,9,2021
2021-09-04,20210904,4,9,September,3,2021,35,9,2021
2021-09-05,20210905,5,9,September,3,2021,35,9,2021
2021-09-06,20210906,6,9,September,3,2021,36,9,2021
2021-09-07,20210907,7,9,September,3,2021,36,9,2021
2021-09-08,20210908,8,9,September,3,2021,36,9,2021
2021-09-09,20210909,9,9,September,3,2021,36,9,2021
2021-09-10,20210910,10,9,September,3,2021,36,9,2021
2021-09-11,20210911,11,9,September,3,2021,36,9,2021
2021-09-12,20210912,12,9,September,3,2021,36,9,2021
2021-09-13,20210913,13,9,September,3,2021,37,9,2021
2021-09-14,20210914,14,9,September,3,2021,37,9,2021
2021-09-15,20210915,15,9,September,3,2021,37,9,2021
2021-09-16,20210916,16,9,September,3,2021,37,9,2021
2021-09-17,20210917,17,9,September,3,2021,37,9,2021
2021-09-18,20210918,18,9,September,3,2021,37,9,2021
2021-09-19,20210919,19,9,September,3,2021,37,9,2021
2021-09-20,20210920,20,9,September,3,2021,38,9,2021
2021-09-21,20210921,21,9,September,3,2021,38,9,2021
2021-09-22,20210922,22,9,September,3,2021,38,9,2021
2021-09-23,20210923,23,9,September,3,2021,38,9,2021
2021-09-24,20210924,24,9,September,3,2021,38,9,2021
2021-09-25,20210925,25,9,September,3,2021,38,9,2021
2021-09-26,20210926,26,9,September,3,2021,38,9,2021
2021-09-27,20210927,27,9,September,3,2021,39,9,2021
2021-09-28,20210928,28,9,September,3,2021,39,9,2021
2021-09-29,20210929,29,9,September,3,2021,39,9,2021
2021-09-30,20210930,30,9,September,3,2021,39,9,2021
2021-10-01,20211001,1,10,October,4,2021,39,10,2021
2021-10-02,20211002,2,10,October,4,2021,39,10,2021
2021-10-03,20211003,3,10,October,4,2021,39,10,2021
2021-10-04,20211004,4,10,October,4,2021,40,10,2021
2021-10-05,20211005,5,10,October,4,2021,40,10,2021
2021-10-06,20211006,6,10,October,4,2021,40,10,2021
2021-10-07,20211007,7,10,October,4,2021,40,10,2021
2021-10-08,20211008,8,10,October,4,2021,40,10,2021
2021-10-09,20211009,9,10,October,4,2021,40,10,2021
2021-10-10,20211010,10,10,October,4,2021,40,10,2021
2021-10-11,20211011,11,10,October,4,2021,41,10,2021
2021-10-12,20211012,12,10,October,4,2021,41,10,2021
2021-10-13,20211013,13,10,October,4,2021,41,10,2021
2021-10-14,20211014,14,10,October,4,2021,41,10,2021
2021-10-15,20211015,15,10,October,4,2021,41,10,2021
2021-10-16,20211016,16,10,October,4,2021,41,10,2021
2021-10-17,20211017,17,10,October,4,2021,41,10,2021
2021-10-18,20211018,18,10,October,4,2021,42,10,2021
2021-10-19,20211019,19,10,October,4,2021,42,10,2021
2021-10-20,20211020,20,10,October,4,2021,42,10,2021
2021-10-21,20211021,21,10,October,4,2021,42,10,2021
2021-10-22,20211022,22,10,October,4,2021,42,10,2021
2021-10-23,20211023,23,10,October,4,2021,42,10,2021
2021-10-24,20211024,24,10,October,4,2021,42,10,2021
2021-10-25,20211025,25,10,October,4,2021,43,10,2021
2021-10-26,20211026,26,10,October,4,2021,43,10,2021
2021-10-27,20211027,27,10,October,4,2021,43,10,2021
2021-10-28,20211028,28,10,October,4,2021,43,10,2021
2021-10-29,20211029,29,10,October,4,2021,43,10,2021
2021-10-30,20211030,30,10,October,4,2021,43,10,2021
2021-10-31,20211031,31,10,October,4,2021,43,10,2021
2021-11-01,20211101,1,11,November,4,2021,44,11,2021
2021-11-02,20211102,2,11,November,4,2021,44,11,2021
2021-11-03,20211103,3,11,November,4,2021,44,11,2021
2021-11-04,20211104,4,11,November,4,2021,44,11,2021
2021-11-05,20211105,5,11,November,4,2021,44,11,2021
2021-11-06,20211106,6,11,November,4,2021,44,11,2021
2021-11-07,20211107,7,11,November,4,2021,44,11,2021
2021-11-08,20211108,8,11,November,4,2021,45,11,2021
2021-11-09,20211109,9,11,November,4,2021,45,11,2021
2021-11-10,20211110,10,11,November,4,2021,45,11,2021
2021-11-11,20211111,11,11,November,4,2021,45,11,2021
2021-11-12,20211112,12,11,November,4,2021,45,11,2021
2021-11-13,20211113,13,11,November,4,2021,45,11,2021
2021-11-14,20211114,14,11,November,4,2021,45,11,2021
2021-11-15,20211115,15,11,November,4,2021,46,11,2021
2021-11-16,20211116,16,11,November,4,2021,46,11,2021
2021-11-17,20211117,17,11,November,4,2021,46,11,2021
2021-11-18,20211118,18,11,November,4,2021,46,11,2021
2021-11-19,20211119,19,11,November,4,2021,46,11,2021
2021-11-20,20211120,20,11,November,4,2021,46,11,2021
2021-11-21,20211121,21,11,November,4,2021,46,11,2021
2021-11-22,20211122,22,11,November,4,2021,47,11,2021
2021-11-23,20211123,23,11,November,4,2021,47,11,2021
2021-11-24,20211124,24,11,November,4,2021,47,11,2021
2021-11-25,20211125,25,11,November,4,2021,47,11,2021
2021-11-26,20211126,26,11,November,4,2021,47,11,2021
2021-11-27,20211127,27,11,November,4,2021,47,11,2021
2021-11-28,20211128,28,11,November,4,2021,47,11,2021
2021-11-29,20211129,29,11,November,4,2021,48,11,2021
2021-11-30,20211130,30,11,November,4,2021,48,11,2021
2021-12-01,20211201,1,12,December,4,2021,48,12,2021
2021-12-02,20211202,2,12,December,4,2021,48,12,2021
2021-12-03,20211203,3,12,December,4,2021,48,12,2021
2021-12-04,20211204,4,12,December,4,2021,48,12,2021
2021-12-05,20211205,5,12,December,4,2021,48,12,2021
2021-12-06,20211206,6,12,December,4,2021,49,12,2021
2021-12-07,20211207,7,12,December,4,2021,49,12,2021
2021-12-08,20211208,8,12,December,4,2021,49,12,2021
2021-12-09,20211209,9,12,December,4,2021,49,12,2021
2021-12-10,20211210,10,12,December,4,2021,49,12,2021
2021-12-11,20211211,11,12,December,4,2021,49,12,2021
2021-12-12,20211212,12,12,December,4,2021,49,12,2021
2021-12-13,20211213,13,12,December,4,2021,50,12,2021
2021-12-14,20211214,14,12,December,4,2021,50,12,2021
2021-12-15,20211215,15,12,December,4,2021,50,12,2021
2021-12-16,20211216,16,12,December,4,2021,50,12,2021
2021-12-17,20211217,17,12,December,4,2021,50,12,2021
2021-12-18,20211218,18,12,December,4,2021,50,12,2021
2021-12-19,20211219,19,12,December,4,2021,50,12,2021
2021-12-20,20211220,20,12,December,4,2021,51,12,2021
2021-12-21,20211221,21,12,December,4,2021,51,12,2021
2021-12-22,20211222,22,12,December,4,2021,51,12,2021
2021-12-23,20211223,23,12,December,4,2021,51,12,2021
2021-12-24,20211224,24,12,December,4,2021,51,12,2021
2021-12-25,20211225,25,12,December,4,2021,51,12,2021
2021-12-26,20211226,26,12,December,4,2021,51,12,2021
2021-12-27,20211227,27,12,December,4,2021,52,12,2021
2021-12-28,20211228,28,12,December,4,2021,52,12,2021
2021-12-29,20211229,29,12,December,4,2021,52,12,2021
2021-12-30,20211230,30,12,December,4,2021,52,12,2021
2021-12-31,20211231,31,12,December,4,2021,52,12,2021
2022-01-01,20220101,1,1,January,1,2022,52,1,2022
2022-01-02,20220102,2,1,January,1,2022,52,1,2022
2022-01-03,20220103,3,1,January,1,2022,1,1,2022
2022-01-04,20220104,4,1,January,1,2022,1,1,2022
2022-01-05,20220105,5,1,January,1,2022,1,1,2022
2022-01-06,20220106,6,1,January,1,2022,1,1,2022
2022-01-07,20220107,7,1,January,1,2022,1,1,2022
2022-01-08,20220108,8,1,January,1,2022,1,1,2022
2022-01-09,20220109,9,1,January,1,2022,1,1,2022
2022-01-10,20220110,10,1,January,1,2022,2,1,2022
2022-01-11,20220111,11,1,January,1,2022,2,1,2022
2022-01-12,20220112,12,1,January,1,2022,2,1,2022
2022-01-13,20220113,13,1,January,1,2022,2,1,2022
2022-01-14,20220114,14,1,January,1,2022,2,1,2022
2022-01-15,20220115,15,1,January,1,2022,2,1,2022
2022-01-16,20220116,16,1,January,1,2022,2,1,2022
2022-01-17,20220117,17,1,January,1,2022,3,1,2022
2022-01-18,20220118,18,1,January,1,2022,3,1,2022
2022-01-19,20220119,19,1,January,1,2022,3,1,2022
2022-01-20,20220120,20,1,January,1,2022,3,1,2022
2022-01-21,20220121,21,1,January,1,2022,3,1,2022
2022-01-22,20220122,22,1,January,1,2022,3,1,2022
2022-01-23,20220123,23,1,January,1,2022,3,1,2022
2022-01-24,20220124,24,1,January,1,2022,4,1,2022
2022-01-25,20220125,25,1,January,1,2022,4,1,2022
2022-01-26,20220126,26,1,January,1,2022,4,1,2022
2022-01-27,20220127,27,1,January,1,2022,4,1,2022
2022-01-28,20220128,28,1,January,1,2022,4,1,2022
2022-01-29,20220129,29,1,January,1,2022,4,1,2022
2022-01-30,20220130,30,1,January,1,2022,4,1,2022
2022-01-31,20220131,31,1,January,1,2022,5,1,2022
2022-02-01,20220201,1,2,February,1,2022,5,2,2022
2022-02-02,20220202,2,2,February,1,2022,5,2,2022
2022-02-03,20220203,3,2,February,1,2022,5,2,2022
2022-02-04,20220204,4,2,February,1,2022,5,2,2022
2022-02-05,20220205,5,2,February,1,2022,5,2,2022
2022-02-06,20220206,6,2,February,1,2022,5,2,2022
2022-02-07,20220207,7,2,February,1,2022,6,2,2022
2022-02-08,20220208,8,2,February,1,2022,6,2,2022
2022-02-09,20220209,9,2,February,1,2022,6,2,2022
2022-02-10,20220210,10,2,February,1,2022,6,2,2022
2022-02-11,20220211,11,2,February,1,2022,6,2,2022
2022-02-12,20220212,12,2,February,1,2022,6,2,2022
2022-02-13,20220213,13,2,February,1,2022,6,2,2022
2022-02-14,20220214,14,2,February,1,2022,7,2,2022
2022-02-15,20220215,15,2,February,1,2022,7,2,2022
2022-02-16,20220216,16,2,February,1,2022,7,2,2022
2022-02-17,20220217,17,2,February,1,2022,7,2,2022
2022-02-18,20220218,18,2,February,1,2022,7,2,2022
2022-02-19,20220219,19,2,February,1,2022,7,2,2022
2022-02-20,20220220,20,2,February,1,2022,7,2,2022
2022-02-21,20220221,21,2,February,1,2022,8,2,2022
2022-02-22,20220222,22,2,February,1,2022,8,2,2022
2022-02-23,20220223,23,2,February,1,2022,8,2,2022
2022-02-24,20220224,24,2,February,1,2022,8,2,2022
2022-02-25,20220225,25,2,February,1,2022,8,2,2022
2022-02-26,20220226,26,2,February,1,2022,8,2,2022
2022-02-27,20220227,27,2,February,1,2022,8,2,2022
2022-02-28,20220228,28,2,February,1,2022,9,2,2022
2022-03-01,20220301,1,3,March,1,2022,9,3,2022
2022-03-02,20220302,2,3,March,1,2022,9,3,2022
2022-03-03,20220303,3,3,March,1,2022,9,3,2022
2022-03-04,20220304,4,3,March,1,2022,9,3,2022
2022-03-05,20220305,5,3,March,1,2022,9,3,2022
2022-03-06,20220306,6,3,March,1,2022,9,3,2022
2022-03-07,20220307,7,3,March,1,2022,10,3,2022
2022-03-08,20220308,8,3,March,1,2022,10,3,2022
2022-03-09,20220309,9,3,March,1,2022,10,3,2022
2022-03-10,20220310,10,3,March,1,2022,10,3,2022
2022-03-11,20220311,11,3,March,1,2022,10,3,2022
2022-03-12,20220312,12,3,March,1,2022,10,3,2022
2022-03-13,20220313,13,3,March,1,2022,10,3,2022
2022-03-14,20220314,14,3,March,1,2022,11,3,2022
2022-03-15,20220315,15,3,March,1,2022,11,3,2022
2022-03-16,20220316,16,3,March,1,2022,11,3,2022
2022-03-17,20220317,17,3,March,1,2022,11,3,2022
2022-03-18,20220318,18,3,March,1,2022,11,3,2022
2022-03-19,20220319,19,3,March,1,2022,11,3,2022
2022-03-20,20220320,20,3,March,1,2022,11,3,2022
2022-03-21,20220321,21,3,March,1,2022,12,3,2022
2022-03-22,20220322,22,3,March,1,2022,12,3,2022
2022-03-23,20220323,23,3,March,1,2022,12,3,2022
2022-03-24,20220324,24,3,March,1,2022,12,3,2022
2022-03-25,20220325,25,3,March,1,2022,12,3,2022
2022-03-26,20220326,26,3,March,1,2022,12,3,2022
2022-03-27,20220327,27,3,March,1,2022,12,3,2022
2022-03-28,20220328,28,3,March,1,2022,13,3,2022
2022-03-29,20220329,29,3,March,1,2022,13,3,2022
2022-03-30,20220330,30,3,March,1,2022,13,3,2022
2022-03-31,20220331,31,3,March,1,2022,13,3,2022
2022-04-01,20220401,1,4,April,2,2022,13,4,2022
2022-04-02,20220402,2,4,April,2,2022,13,4,2022
2022-04-03,20220403,3,4,April,2,2022,13,4,2022
2022-04-04,20220404,4,4,April,2,2022,14,4,2022
2022-04-05,20220405,5,4,April,2,2022,14,4,2022
2022-04-06,20220406,6,4,April,2,2022,14,4,2022
2022-04-07,20220407,7,4,April,2,2022,14,4,2022
2022-04-08,20220408,8,4,April,2,2022,14,4,2022
2022-04-09,20220409,9,4,April,2,2022,14,4,2022
2022-04-10,20220410,10,4,April,2,2022,14,4,2022
2022-04-11,20220411,11,4,April,2,2022,15,4,2022
2022-04-12,20220412,12,4,April,2,2022,15,4,2022
2022-04-13,20220413,13,4,April,2,2022,15,4,2022
2022-04-14,20220414,14,4,April,2,2022,15,4,2022
2022-04-15,20220415,15,4,April,2,2022,15,4,2022
2022-04-16,20220416,16,4,April,2,2022,15,4,2022
2022-04-17,20220417,17,4,April,2,2022,15,4,2022
2022-04-18,20220418,18,4,April,2,2022,16,4,2022
2022-04-19,20220419,19,4,April,2,2022,16,4,2022
2022-04-20,20220420,20,4,April,2,2022,16,4,2022
2022-04-21,20220421,21,4,April,2,2022,16,4,2022
2022-04-22,20220422,22,4,April,2,2022,16,4,2022
2022-04-23,20220423,23,4,April,2,2022,16,4,2022
